Start concentration,Episode,Aeration_Time,Post_Aeration_Concentration,Input concentration,Reward,Average_predict_concentration
2.5365591706945727,213,329,1.0816263309053853,36.0,9.090599060058594,tensor(1.0909)
2.5365585671176607,214,329,1.0816260735312668,36.0,9.08083438873291,tensor(1.0919)
2.536558320467464,215,329,1.0816259683559764,36.0,9.071460723876953,tensor(1.0929)
2.536558219674477,216,329,1.0816259253763567,36.0,9.062414169311523,tensor(1.0938)
2.5365581784856754,217,329,1.0816259078128427,36.0,9.05361270904541,tensor(1.0946)
2.536558161653974,218,329,1.0816259006355564,36.0,9.045066833496094,tensor(1.0955)
2.536558154775742,219,329,1.0816258977025766,36.0,9.036844253540039,tensor(1.0963)
2.536558151964969,220,329,1.0816258965040213,36.0,9.02880573272705,tensor(1.0971)
2.5365581508163535,221,329,1.0816258960142349,36.0,9.146763801574707,tensor(1.0853)
2.536558150346975,222,329,1.081625895814085,36.0,9.137011528015137,tensor(1.0863)
2.536558150155165,223,329,1.0816258957322942,36.0,9.127524375915527,tensor(1.0872)
2.536558150076782,224,329,1.0816258956988705,36.0,9.118308067321777,tensor(1.0882)
2.536558150044751,225,329,1.081625895685212,36.0,9.109328269958496,tensor(1.0891)
2.5365581500316616,226,329,1.0816258956796305,36.0,9.100651741027832,tensor(1.0899)
2.5365581500263126,227,329,1.0816258956773497,36.0,9.092111587524414,tensor(1.0908)
2.5365581500241268,228,329,1.0816258956764175,36.0,9.083759307861328,tensor(1.0916)
2.5365581500232333,229,329,1.0816258956760365,36.0,9.075648307800293,tensor(1.0924)
2.536558150022868,230,329,1.0816258956758809,36.0,9.067792892456055,tensor(1.0932)
2.536558150022719,231,329,1.0816258956758174,36.0,9.154464721679688,tensor(1.0846)
2.5365581500226586,232,329,1.0816258956757916,36.0,9.145386695861816,tensor(1.0855)
2.5365581500226337,233,329,1.081625895675781,36.0,9.136571884155273,tensor(1.0863)
2.5365581500226235,234,329,1.0816258956757765,36.0,9.12798023223877,tensor(1.0872)
2.536558150022619,235,329,1.0816258956757747,36.0,9.119674682617188,tensor(1.0880)
2.5365581500226178,236,329,1.081625895675774,36.0,9.111523628234863,tensor(1.0888)
2.536558150022617,237,329,1.0816258956757738,36.0,9.103581428527832,tensor(1.0896)
2.536558150022617,238,329,1.0816258956757738,36.0,9.095868110656738,tensor(1.0904)
2.536558150022617,239,329,1.0816258956757738,36.0,9.088390350341797,tensor(1.0912)
2.536558150022617,240,329,1.0816258956757738,36.0,9.081151008605957,tensor(1.0919)
2.536558150022617,241,329,1.0816258956757738,36.0,9.157594680786133,tensor(1.0842)
2.536558150022617,242,329,1.0816258956757738,36.0,9.149249076843262,tensor(1.0851)
2.536558150022617,243,329,1.0816258956757738,36.0,9.141157150268555,tensor(1.0859)
2.536558150022617,244,329,1.0816258956757738,36.0,9.133286476135254,tensor(1.0867)
2.536558150022617,245,329,1.0816258956757738,36.0,9.125628471374512,tensor(1.0874)
2.536558150022617,246,329,1.0816258956757738,36.0,9.118200302124023,tensor(1.0882)
2.536558150022617,247,329,1.0816258956757738,36.0,9.110980987548828,tensor(1.0889)
2.536558150022617,248,329,1.0816258956757738,36.0,9.10398006439209,tensor(1.0896)
2.536558150022617,249,329,1.0816258956757738,36.0,9.097190856933594,tensor(1.0903)
2.536558150022617,250,329,1.0816258956757738,36.0,9.090577125549316,tensor(1.0909)
2.536558150022617,251,329,1.0816258956757738,36.0,9.159836769104004,tensor(1.0840)
2.536558150022617,252,329,1.0816258956757738,36.0,9.152189254760742,tensor(1.0848)
2.536558150022617,253,329,1.0816258956757738,36.0,9.144761085510254,tensor(1.0855)
2.536558150022617,254,329,1.0816258956757738,36.0,9.137532234191895,tensor(1.0862)
2.536558150022617,255,329,1.0816258956757738,36.0,9.130511283874512,tensor(1.0869)
2.536558150022617,256,329,1.0816258956757738,36.0,9.123706817626953,tensor(1.0876)
2.536558150022617,257,329,1.0816258956757738,36.0,9.117082595825195,tensor(1.0883)
2.536558150022617,258,329,1.0816258956757738,36.0,9.110651969909668,tensor(1.0889)
2.536558150022617,259,329,1.0816258956757738,36.0,9.104494094848633,tensor(1.0896)
2.536558150022617,260,329,1.0816258956757738,36.0,9.098771095275879,tensor(1.0901)
2.536558150022617,261,329,1.0816258956757738,36.0,9.162626266479492,tensor(1.0837)
2.536558150022617,262,329,1.0816258956757738,36.0,9.156014442443848,tensor(1.0844)
2.536558150022617,263,329,1.0816258956757738,36.0,9.14957332611084,tensor(1.0850)
2.536558150022617,264,329,1.0816258956757738,36.0,9.143372535705566,tensor(1.0857)
2.536558150022617,265,329,1.0816258956757738,36.0,9.13737964630127,tensor(1.0863)
2.536558150022617,266,329,1.0816258956757738,36.0,9.131563186645508,tensor(1.0868)
2.536558150022617,267,329,1.0816258956757738,36.0,9.125924110412598,tensor(1.0874)
2.536558150022617,268,329,1.0816258956757738,36.0,9.120445251464844,tensor(1.0880)
2.536558150022617,269,329,1.0816258956757738,36.0,9.11513900756836,tensor(1.0885)
2.536558150022617,270,329,1.0816258956757738,36.0,9.109957695007324,tensor(1.0890)
2.536558150022617,271,329,1.0816258956757738,36.0,9.164932250976562,tensor(1.0835)
2.536558150022617,272,329,1.0816258956757738,36.0,9.15868854522705,tensor(1.0841)
2.536558150022617,273,329,1.0816258956757738,36.0,9.152634620666504,tensor(1.0847)
2.536558150022617,274,329,1.0816258956757738,36.0,9.146759986877441,tensor(1.0853)
2.536558150022617,275,329,1.0816258956757738,36.0,9.141027450561523,tensor(1.0859)
2.536558150022617,276,329,1.0816258956757738,36.0,9.135504722595215,tensor(1.0864)
